country,country_code,category,threshold_downloads,current_downloads,downloads_needed,already_achieved
Canada,ca,Top 3,3650.179801535257,1647.2967032967033,2002.8830982385537,False
Canada,ca,Top 5,2934.2130567373347,1647.2967032967033,1286.9163534406314,False
Canada,ca,Top 10,1780.5373849887185,1647.2967032967033,133.2406816920152,False
Canada,ca,Top 50,465.84735796895353,1647.2967032967033,0.0,True
Canada,ca,Top 100,206.34849413389887,1647.2967032967033,0.0,True
Austria,at,Top 1,608.4097744360903,30.142857142857142,578.2669172932332,False
Austria,at,Top 2,460.07518796992485,30.142857142857142,429.9323308270677,False
Austria,at,Top 3,391.0639097744361,30.142857142857142,360.92105263157896,False
Austria,at,Top 5,284.77067669172936,30.142857142857142,254.62781954887222,False
Austria,at,Top 10,155.47368421052633,30.142857142857142,125.33082706766919,False
Austria,at,Top 50,35.695488721804516,30.142857142857142,5.5526315789473735,False
Austria,at,Top 100,15.071428571428571,30.142857142857142,0.0,True
Finland,fi,Top 1,517.1900800485842,22.01098901098901,495.17909103759513,False
Finland,fi,Top 2,390.7238925914486,22.01098901098901,368.71290358045957,False
Finland,fi,Top 3,302.00880586778635,22.01098901098901,279.99781685679733,False
Finland,fi,Top 5,216.1250516991346,22.01098901098901,194.11406268814557,False
Finland,fi,Top 10,112.30952468208304,22.01098901098901,90.29853567109403,False
Finland,fi,Top 50,17.931772848399813,22.01098901098901,0.0,True
Finland,fi,Top 100,6.606442628357827,22.01098901098901,0.0,True
Denmark,dk,Top 1,651.6705313035588,51.472527472527474,600.1980038310314,False
Denmark,dk,Top 2,363.90840810565584,51.472527472527474,312.43588063312836,False
Denmark,dk,Top 3,309.01224921867123,51.472527472527474,257.53972174614375,False
Denmark,dk,Top 5,225.78258897066237,51.472527472527474,174.3100614981349,False
Denmark,dk,Top 10,130.15702187720535,51.472527472527474,78.68449440467788,False
Denmark,dk,Top 50,39.843986288940414,51.472527472527474,0.0,True
Denmark,dk,Top 100,17.708438350640186,51.472527472527474,0.0,True
Brazil,br,Top 1,228350.2041189559,1590.3076923076924,226759.89642664822,False
Brazil,br,Top 2,168422.21777430072,1590.3076923076924,166831.91008199303,False
Brazil,br,Top 3,149498.58549322822,1590.3076923076924,147908.27780092054,False
Brazil,br,Top 5,128495.4331812686,1590.3076923076924,126905.12548896091,False
Brazil,br,Top 10,89296.48059904698,1590.3076923076924,87706.17290673929,False
Brazil,br,Top 50,16050.113692937626,1590.3076923076924,14459.806000629935,False
Brazil,br,Top 100,6635.559371285168,1590.3076923076924,5045.251678977475,False
Italy,it,Top 1,12603.024506593883,374.95604395604397,12228.068462637839,False
Italy,it,Top 2,7722.398314604056,374.95604395604397,7347.442270648013,False
Italy,it,Top 3,5260.801284839563,374.95604395604397,4885.845240883519,False
Italy,it,Top 5,3182.3150629275033,374.95604395604397,2807.359018971459,False
Italy,it,Top 10,1619.0468239894078,374.95604395604397,1244.090780033364,False
Italy,it,Top 50,356.6893728281288,374.95604395604397,0.0,True
Italy,it,Top 100,152.65718014043372,374.95604395604397,0.0,True
Australia,au,Top 1,5111.361150768183,842.4175824175824,4268.9435683506,False
Australia,au,Top 2,3666.907433299715,842.4175824175824,2824.489850882133,False
Australia,au,Top 3,3090.820320174462,842.4175824175824,2248.4027377568796,False
Australia,au,Top 5,2153.2667831274803,842.4175824175824,1310.849200709898,False
Australia,au,Top 10,1465.6333907451308,842.4175824175824,623.2158083275484,False
Australia,au,Top 50,406.6497269119438,842.4175824175824,0.0,True
Australia,au,Top 100,186.3811248346409,842.4175824175824,0.0,True
Romania,ro,Top 1,1491.6073772127704,33.7032967032967,1457.9040805094737,False
Romania,ro,Top 2,998.3001808318262,33.7032967032967,964.5968841285295,False
Romania,ro,Top 3,801.3111819385896,33.7032967032967,767.6078852352929,False
Romania,ro,Top 5,510.00117933799817,33.7032967032967,476.29788263470147,False
Romania,ro,Top 10,293.81410004414954,33.7032967032967,260.11080334085284,False
Romania,ro,Top 50,47.577851427603754,33.7032967032967,13.874554724307053,False
Romania,ro,Top 100,18.363381252759343,33.7032967032967,0.0,True
United Arab Emirates,ae,Top 1,2680.448624087838,1128.3736263736264,1552.0749977142118,False
United Arab Emirates,ae,Top 2,2016.4593202528813,1128.3736263736264,888.0856938792549,False
