country,country_code,category,threshold_downloads,current_downloads,downloads_needed,already_achieved
Austria,at,Top 3,276.25143928236713,15.945054945054945,260.3063843373122,False
Austria,at,Top 5,217.34290451816224,15.945054945054945,201.3978495731073,False
Austria,at,Top 10,152.24762865999978,15.945054945054945,136.30257371494483,False
Austria,at,Top 50,22.326065686890427,15.945054945054945,6.381010741835482,False
Austria,at,Top 100,8.876628526113063,15.945054945054945,0.0,True
Finland,fi,Top 1,116.18322925147562,15.813186813186814,100.3700424382888,False
Finland,fi,Top 2,117.3381321267388,15.813186813186814,101.52494531355198,False
Finland,fi,Top 3,100.3610598603701,15.813186813186814,84.54787304718329,False
Finland,fi,Top 5,74.9531966045802,15.813186813186814,59.14000979139338,False
Finland,fi,Top 10,50.93121679910612,15.813186813186814,35.11802998591931,False
Finland,fi,Top 50,5.774514376315886,15.813186813186814,0.0,True
Finland,fi,Top 100,2.078825175473719,15.813186813186814,0.0,True
Denmark,dk,Top 1,114.60040042697662,20.32967032967033,94.27073009730628,False
Denmark,dk,Top 2,93.860301538607,20.32967032967033,73.53063120893668,False
Denmark,dk,Top 3,82.05207005471773,20.32967032967033,61.7223997250474,False
Denmark,dk,Top 5,57.67866917130527,20.32967032967033,37.348998841634945,False
Denmark,dk,Top 10,32.3969427891321,20.32967032967033,12.067272459461769,False
Denmark,dk,Top 50,6.5096660744517765,20.32967032967033,0.0,True
Denmark,dk,Top 100,2.724976496282139,20.32967032967033,0.0,True
Brazil,br,Top 1,45980.130684743446,90.3956043956044,45889.73508034784,False
Brazil,br,Top 2,38686.8489209821,90.3956043956044,38596.45331658649,False
Brazil,br,Top 3,35564.57749196869,90.3956043956044,35474.18188757308,False
Brazil,br,Top 5,28722.373184114134,90.3956043956044,28631.97757971853,False
Brazil,br,Top 10,18010.739738717628,90.3956043956044,17920.344134322022,False
Brazil,br,Top 50,2080.0042227897397,90.3956043956044,1989.6086183941354,False
Brazil,br,Top 100,961.6945473134888,90.3956043956044,871.2989429178843,False
Italy,it,Top 1,11114.327503974562,212.0,10902.327503974562,False
Italy,it,Top 2,4564.813081989552,212.0,4352.813081989552,False
Italy,it,Top 3,3822.500113558937,212.0,3610.500113558937,False
Italy,it,Top 5,3178.555530320236,212.0,2966.555530320236,False
Italy,it,Top 10,1494.159436747672,212.0,1282.159436747672,False
Italy,it,Top 50,221.43720190779013,212.0,9.437201907790126,False
Italy,it,Top 100,92.30161253690665,212.0,0.0,True
Australia,au,Top 1,1019.3018584891825,205.76923076923077,813.5326277199517,False
Australia,au,Top 2,805.2593003197218,205.76923076923077,599.490069550491,False
Australia,au,Top 3,687.1892657019524,205.76923076923077,481.42003493272165,False
Australia,au,Top 5,488.9615929033123,205.76923076923077,283.1923621340815,False
Australia,au,Top 10,332.32923505258356,205.76923076923077,126.56000428335278,False
Australia,au,Top 50,57.626842584085544,205.76923076923077,0.0,True
Australia,au,Top 100,24.26393371961497,205.76923076923077,0.0,True
Romania,ro,Top 1,1209.593509689733,48.582417582417584,1161.0110921073156,False
Romania,ro,Top 2,821.47176614581,48.582417582417584,772.8893485633923,False
Romania,ro,Top 3,761.2550457721254,48.582417582417584,712.6726281897078,False
Romania,ro,Top 5,572.1903211054041,48.582417582417584,523.6079035229865,False
Romania,ro,Top 10,399.9547235300182,48.582417582417584,351.37230594760064,False
Romania,ro,Top 50,37.86553595550468,48.582417582417584,0.0,True
Romania,ro,Top 100,14.462531094116372,48.582417582417584,0.0,True
United Arab Emirates,ae,Top 1,1726.1103362471406,940.4945054945055,785.6158307526351,False
United Arab Emirates,ae,Top 2,1352.2841548541885,940.4945054945055,411.78964935968304,False
United Arab Emirates,ae,Top 3,1177.7004237023348,940.4945054945055,237.2059182078293,False
United Arab Emirates,ae,Top 5,1015.9392264768884,940.4945054945055,75.44472098238293,False
United Arab Emirates,ae,Top 10,825.0807407261332,940.4945054945055,0.0,True
United Arab Emirates,ae,Top 50,173.10420800649896,940.4945054945055,0.0,True
United Arab Emirates,ae,Top 100,66.08536715917624,940.4945054945055,0.0,True
Portugal,pt,Top 1,704.1007639240472,83.94505494505495,620.1557089789923,False
Portugal,pt,Top 2,585.2098563057272,83.94505494505495,501.2648013606722,False
Portugal,pt,Top 3,401.1761909869533,83.94505494505495,317.23113604189837,False
Portugal,pt,Top 5,338.82833708222853,83.94505494505495,254.88328213717358,False
Portugal,pt,Top 10,229.82708904879587,83.94505494505495,145.88203410374092,False
Portugal,pt,Top 50,28.59401575630482,83.94505494505495,0.0,True
Portugal,pt,Top 100,11.824592981930564,83.94505494505495,0.0,True
Sweden,se,Top 1,458.1090209512966,53.81318681318681,404.2958341381098,False
Sweden,se,Top 2,404.9056505474174,53.81318681318681,351.0924637342306,False
Sweden,se,Top 3,360.6628477905073,53.81318681318681,306.8496609773205,False
Sweden,se,Top 5,291.2184485264966,53.81318681318681,237.4052617133098,False
Sweden,se,Top 10,179.7713884173181,53.81318681318681,125.95820160413129,False
Sweden,se,Top 50,24.36154329019731,53.81318681318681,0.0,True
Sweden,se,Top 100,10.640674080775838,53.81318681318681,0.0,True
Ireland,ie,Top 1,228.86005743817327,36.65934065934066,192.2007167788326,False
Ireland,ie,Top 2,223.24385970962916,36.65934065934066,186.58451905028852,False
Ireland,ie,Top 3,134.2622269480081,36.65934065934066,97.60288628866745,False
Ireland,ie,Top 5,93.89580577409716,36.65934065934066,57.2364651147565,False
Ireland,ie,Top 10,48.26419922967611,36.65934065934066,11.604858570335452,False
Ireland,ie,Top 50,7.722271876748178,36.65934065934066,0.0,True
Ireland,ie,Top 100,3.159111222306073,36.65934065934066,0.0,True
Norway,no,Top 1,196.26838480337705,22.714285714285715,173.55409908909132,False
Norway,no,Top 2,173.58942457231726,22.714285714285715,150.87513885803153,False
Norway,no,Top 3,132.4705620973117,22.714285714285715,109.75627638302598,False
Norway,no,Top 5,93.47122861586314,22.714285714285715,70.75694290157742,False
Norway,no,Top 10,54.25994223505887,22.714285714285715,31.545656520773157,False
Norway,no,Top 50,10.17373916907354,22.714285714285715,0.0,True
Norway,no,Top 100,4.451010886469673,22.714285714285715,0.0,True
New Zealand,nz,Top 1,174.57448568749658,47.46153846153846,127.11294722595812,False
New Zealand,nz,Top 2,155.25585164380598,47.46153846153846,107.79431318226753,False
New Zealand,nz,Top 3,123.92196959733224,47.46153846153846,76.46043113579378,False
New Zealand,nz,Top 5,96.82876331654668,47.46153846153846,49.367224855008224,False
New Zealand,nz,Top 10,57.48471593488416,47.46153846153846,10.023177473345697,False
New Zealand,nz,Top 50,8.245758433282564,47.46153846153846,0.0,True
New Zealand,nz,Top 100,3.062710275219238,47.46153846153846,0.0,True
